2022-10-20 17:11:19,412 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [RefAxis] from Gripper_without_Gimbal_for_SolidWorks_ver1_1.stp-1
2022-10-20 17:11:19,413 INFO  ExportHelperExtension.cs: 1136 - Found 47 in Gripper_without_Gimbal_for_SolidWorks_ver1_1.stp-1
2022-10-20 17:11:19,413 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [RefAxis] in Gripper_without_Gimbal_for_SolidWorks_ver1_1.stp-1
2022-10-20 17:11:20,345 INFO  SwAddin.cs: 339 - Loading config tree
2022-10-20 17:11:20,346 INFO  ExportPropertyManagerExtension.cs: 520 - Starting new configuration
2022-10-20 17:11:20,349 INFO  SwAddin.cs: 344 - Showing property manager
2022-10-20 18:57:04,551 INFO  ExportPropertyManager.cs: 1136 - OnNumberBoxTrackingCompleted called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2022-10-20 18:57:04,981 INFO  ExportPropertyManager.cs: 1136 - OnNumberBoxTrackingCompleted called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2022-10-20 18:57:05,348 INFO  ExportPropertyManager.cs: 1136 - OnNumberBoxTrackingCompleted called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2022-10-20 18:57:08,064 INFO  ExportPropertyManager.cs: 1136 - OnNumberBoxTrackingCompleted called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2022-10-20 18:57:10,328 INFO  ExportPropertyManager.cs: 1136 - OnNumberBoxTrackingCompleted called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2022-10-20 18:57:37,875 INFO  ExportPropertyManager.cs: 1136 - OnNumberBoxTrackingCompleted called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2022-10-20 18:57:40,629 INFO  ExportPropertyManager.cs: 1136 - OnNumberBoxTrackingCompleted called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2022-10-20 18:57:43,388 INFO  ExportPropertyManager.cs: 1136 - OnNumberBoxTrackingCompleted called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2022-10-20 18:57:45,552 INFO  ExportPropertyManager.cs: 1136 - OnNumberBoxTrackingCompleted called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2022-10-20 19:01:00,524 INFO  ExportPropertyManager.cs: 1018 - OnComboboxSelectionChanged called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2022-10-20 19:01:27,392 INFO  ExportPropertyManager.cs: 1018 - OnComboboxSelectionChanged called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2022-10-20 19:01:38,128 INFO  ExportPropertyManager.cs: 1018 - OnComboboxSelectionChanged called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2022-10-20 19:01:39,874 INFO  ExportPropertyManager.cs: 1018 - OnComboboxSelectionChanged called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2022-10-20 19:03:12,596 INFO  ExportPropertyManager.cs: 1018 - OnComboboxSelectionChanged called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2022-10-20 19:03:15,520 INFO  ExportPropertyManager.cs: 1018 - OnComboboxSelectionChanged called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2022-10-20 19:03:18,488 INFO  ExportPropertyManager.cs: 1018 - OnComboboxSelectionChanged called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2022-10-20 19:03:21,449 INFO  ExportPropertyManager.cs: 1018 - OnComboboxSelectionChanged called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2022-10-20 19:03:23,254 INFO  ExportPropertyManager.cs: 1018 - OnComboboxSelectionChanged called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2022-10-20 19:03:25,801 INFO  ExportPropertyManager.cs: 1018 - OnComboboxSelectionChanged called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2022-10-20 19:04:01,152 INFO  ExportPropertyManager.cs: 1142 - AfterClose called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2022-10-20 19:04:18,600 INFO  SwAddin.cs: 294 - Assembly export called for file Gripper_without_Gimbal_for_SolidWorks_ver1_1
2022-10-20 19:04:21,626 INFO  SwAddin.cs: 313 - Saving assembly
2022-10-20 19:04:23,175 INFO  SwAddin.cs: 316 - Opening property manager
2022-10-20 19:04:23,176 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from Gripper_without_Gimbal_for_SolidWorks_ver1_1
2022-10-20 19:04:23,177 INFO  ExportHelperExtension.cs: 1136 - Found 58 in Gripper_without_Gimbal_for_SolidWorks_ver1_1
2022-10-20 19:04:23,178 INFO  ExportHelperExtension.cs: 1145 - Found 13 features of type [CoordSys] in Gripper_without_Gimbal_for_SolidWorks_ver1_1
2022-10-20 19:04:23,178 INFO  ExportHelperExtension.cs: 1148 - Proceeding through assembly components
2022-10-20 19:04:23,178 INFO  ExportHelperExtension.cs: 1160 - 1 components to check
2022-10-20 19:04:23,178 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from Gripper_without_Gimbal_for_SolidWorks_ver1_1.stp-1
2022-10-20 19:04:23,179 INFO  ExportHelperExtension.cs: 1136 - Found 47 in Gripper_without_Gimbal_for_SolidWorks_ver1_1.stp-1
2022-10-20 19:04:23,179 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [CoordSys] in Gripper_without_Gimbal_for_SolidWorks_ver1_1.stp-1
2022-10-20 19:04:23,180 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [RefAxis] from Gripper_without_Gimbal_for_SolidWorks_ver1_1
2022-10-20 19:04:23,180 INFO  ExportHelperExtension.cs: 1136 - Found 58 in Gripper_without_Gimbal_for_SolidWorks_ver1_1
2022-10-20 19:04:23,180 INFO  ExportHelperExtension.cs: 1145 - Found 10 features of type [RefAxis] in Gripper_without_Gimbal_for_SolidWorks_ver1_1
2022-10-20 19:04:23,181 INFO  ExportHelperExtension.cs: 1148 - Proceeding through assembly components
2022-10-20 19:04:23,181 INFO  ExportHelperExtension.cs: 1160 - 1 components to check
2022-10-20 19:04:23,182 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [RefAxis] from Gripper_without_Gimbal_for_SolidWorks_ver1_1.stp-1
2022-10-20 19:04:23,182 INFO  ExportHelperExtension.cs: 1136 - Found 47 in Gripper_without_Gimbal_for_SolidWorks_ver1_1.stp-1
2022-10-20 19:04:23,182 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [RefAxis] in Gripper_without_Gimbal_for_SolidWorks_ver1_1.stp-1
2022-10-20 19:04:24,760 INFO  SwAddin.cs: 339 - Loading config tree
2022-10-20 19:04:24,761 INFO  ExportPropertyManagerExtension.cs: 520 - Starting new configuration
2022-10-20 19:04:24,765 INFO  SwAddin.cs: 344 - Showing property manager
2022-10-20 19:10:13,113 INFO  ExportPropertyManager.cs: 1018 - OnComboboxSelectionChanged called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2022-10-20 19:10:15,473 INFO  ExportPropertyManager.cs: 1136 - OnNumberBoxTrackingCompleted called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2022-10-20 19:10:15,862 INFO  ExportPropertyManager.cs: 1136 - OnNumberBoxTrackingCompleted called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2022-10-20 19:10:16,275 INFO  ExportPropertyManager.cs: 1136 - OnNumberBoxTrackingCompleted called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2022-10-20 19:10:18,937 INFO  ExportPropertyManager.cs: 1136 - OnNumberBoxTrackingCompleted called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2022-10-20 19:10:21,442 INFO  ExportPropertyManager.cs: 1136 - OnNumberBoxTrackingCompleted called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
